TIME,CPM,TEMP,HUM
00:00,19,25.9,81
00:01,17,25.9,81.1
00:02,21,25.8,81
00:03,17,25.9,81.2
00:04,21,25.9,81.3
00:05,10,25.9,81
00:06,18,25.9,81.2
00:07,18,25.8,81.4
00:08,14,25.8,81.5
00:09,20,25.9,81.4
00:10,20,25.9,81.3
00:11,30,25.9,81.4
00:12,14,25.9,81.2
00:13,26,25.9,81.4
00:14,26,25.9,81.3
00:15,18,25.9,81.4
00:16,19,25.9,81.4
00:17,11,25.9,81.4
00:18,17,25.9,81.3
00:19,11,25.9,81.3
00:20,17,25.9,81.2
00:21,13,25.9,81.1
00:22,31,25.9,81.1
00:23,27,25.9,81.1
00:24,20,26,81
00:25,13,26,80.9
00:26,15,26,80.8
00:27,20,26,81
00:28,12,26,80.8
00:29,28,26,80.8
00:30,18,25.9,80.9
00:31,27,25.9,81.1
00:32,11,25.9,81.2
00:33,14,25.9,81.3
00:34,27,25.9,81.4
00:35,14,25.9,81.3
00:36,24,26,81.2
00:37,17,26,80.9
00:38,21,26,81
00:39,16,25.9,81.1
00:40,13,25.9,81.1
00:41,14,25.9,81.1
00:42,12,25.9,81.1
00:43,20,25.9,81.1
00:44,13,25.9,81.1
00:45,9,25.9,81.2
00:46,11,25.9,81.1
00:47,14,25.9,81
00:48,22,25.9,81
00:49,18,25.9,81
00:50,12,25.9,80.9
00:51,12,25.9,81
00:53,18,25.9,81.1
00:54,10,25.9,81.2
00:55,16,25.9,81.4
00:56,18,25.9,81.4
00:57,15,25.9,81.3
00:58,30,25.9,81.4
00:59,23,25.9,81.4
01:00,19,25.9,81.3
01:01,18,25.9,81.3
01:02,26,26,81.2
01:03,19,26,81.1
01:04,17,26,80.9
01:05,20,25.9,81.1
01:06,11,25.9,81.3
01:07,27,25.9,81.5
01:08,18,25.9,81.4
01:09,22,25.8,81.3
01:10,26,25.8,81.4
01:11,23,25.8,81.3
01:12,12,25.8,81.5
01:13,29,25.8,81.5
01:14,21,25.8,81.6
01:15,21,25.8,81.7
01:16,16,25.8,81.7
01:17,13,25.8,81.6
01:18,25,25.8,81.6
01:19,17,25.8,81.6
01:20,9,25.8,81.5
01:21,28,25.8,81.5
01:22,20,25.8,81.4
01:23,12,25.7,81.5
01:24,26,25.7,81.6
01:25,22,25.7,81.4
01:26,14,25.7,81.5
01:27,18,25.7,81.4
01:28,11,25.7,81.4
01:29,20,25.7,81.5
01:30,20,25.7,81.6
01:31,18,25.7,81.6
01:32,22,25.8,81.5
01:33,22,25.8,81.5
01:34,7,25.8,81.5
01:35,10,25.8,81.5
01:36,13,25.8,81.5
01:37,7,25.7,81.5
01:38,17,25.7,81.6
01:39,28,25.8,81.5
01:40,14,25.8,81.5
01:41,27,25.8,81.3
01:42,15,25.8,81.3
01:43,14,25.8,81.3
01:44,12,25.8,81.3
01:45,21,25.7,81.3
01:46,24,25.8,81.3
01:47,17,25.7,81.4
01:48,26,25.8,81.4
01:49,19,25.7,81.2
01:50,22,25.7,81.4
01:51,7,25.7,81.5
01:52,20,25.7,81.7
01:53,15,25.7,81.6
01:54,20,25.7,81.5
01:55,25,25.7,81.6
01:56,22,25.7,81.5
01:57,9,25.7,81.4
01:58,8,25.7,81.5
01:59,27,25.7,81.4
02:00,11,25.8,81.4
02:01,23,25.8,81.3
02:02,14,25.8,81.1
02:03,28,25.8,81.2
02:04,16,25.8,81.1
02:05,24,25.8,81.3
02:06,23,25.8,81.2
02:07,25,25.7,81.3
02:08,22,25.7,81.6
02:09,14,25.7,81.6
02:10,23,25.7,81.6
02:11,22,25.7,81.5
02:12,17,25.7,81.5
02:13,21,25.7,81.6
02:14,24,25.6,81.7
02:15,14,25.6,81.7
02:16,20,25.6,81.8
02:17,19,25.6,81.8
02:18,10,25.6,81.8
02:19,25,25.7,81.8
02:20,17,25.7,81.6
02:21,15,25.7,81.6
02:22,20,25.7,81.6
02:23,18,25.7,81.5
02:24,18,25.7,81.5
02:25,33,25.8,81.4
02:26,17,25.8,81.4
02:27,13,25.8,81.4
02:28,16,25.8,81.2
02:29,23,25.8,81.2
02:30,15,25.8,81.2
02:31,26,25.8,81
02:32,15,25.8,81.4
02:33,15,25.8,81.4
02:34,20,25.7,81.4
02:35,14,25.7,81.4
02:36,16,25.7,81.4
02:37,16,25.7,81.5
02:38,27,25.7,81.7
02:39,21,25.6,81.7
02:40,19,25.7,81.7
02:41,20,25.7,81.7
02:42,23,25.7,81.6
02:43,11,25.7,81.6
02:44,13,25.7,81.6
02:45,31,25.7,81.5
02:46,22,25.8,81.4
02:47,18,25.8,81.3
02:48,16,25.8,81.4
02:49,20,25.8,81.1
02:50,13,25.8,81.3
02:51,21,25.7,81.5
02:52,26,25.7,81.8
02:53,20,25.7,82
02:54,18,25.7,82.1
02:55,15,25.7,82
02:56,23,25.7,81.9
02:57,13,25.7,81.8
02:58,34,25.7,81.8
02:59,27,25.7,81.8
03:00,20,25.7,81.7
03:01,25,25.7,81.7
03:02,22,25.8,81.4
03:03,24,25.8,81.4
03:04,19,25.8,81.3
03:05,27,25.9,81.3
03:06,12,25.9,81.4
03:07,26,25.8,81.5
03:08,8,25.9,81.5
03:09,18,25.9,81.3
03:10,20,25.9,81.3
03:11,22,25.8,81.4
03:12,14,25.8,81.4
03:13,17,25.8,81.4
03:14,23,25.8,81.4
03:15,18,25.8,81.3
03:16,23,25.8,81.2
03:17,18,25.9,81.3
03:18,20,25.9,81.2
03:19,14,25.9,81.3
03:20,18,25.9,81.2
03:21,16,25.9,81.3
03:22,18,25.8,81.6
03:23,13,25.8,81.8
03:24,9,25.8,81.8
03:25,12,25.8,81.8
03:26,15,25.8,81.7
03:27,20,25.8,81.7
03:28,23,25.8,81.7
03:29,20,25.8,81.7
03:30,24,25.8,81.8
03:31,15,25.7,81.8
03:32,13,25.8,81.7
03:33,23,25.8,81.7
03:34,23,25.8,81.9
03:35,20,25.8,81.7
03:36,17,25.8,81.6
03:37,19,25.8,81.8
03:38,21,25.8,81.9
03:39,16,25.7,82
03:40,21,25.7,82
03:41,20,25.7,82
03:42,22,25.7,82
03:43,29,25.8,81.8
03:44,18,25.8,81.7
03:45,20,25.8,81.6
03:46,19,25.9,81.6
03:47,12,25.9,81.4
03:48,21,25.9,81.5
03:49,23,25.8,81.6
03:50,8,25.8,81.8
03:51,20,25.8,81.8
03:52,19,25.8,81.9
03:53,17,25.8,82
03:54,19,25.8,82
03:55,15,25.8,82
03:56,20,25.8,81.9
03:57,22,25.8,81.9
03:58,28,25.8,81.8
03:59,17,25.8,81.8
04:00,17,25.8,81.8
04:01,12,25.8,81.9
04:02,17,25.8,82
04:03,14,25.8,81.9
04:04,17,25.8,81.9
04:05,18,25.8,81.8
04:06,29,25.9,81.7
04:07,20,25.8,81.7
04:08,16,25.8,81.8
04:09,21,25.8,81.8
04:10,11,25.8,81.9
04:11,21,25.7,82
04:12,28,25.8,82
04:13,29,25.7,82
04:14,19,25.7,82.3
04:15,12,25.7,82.4
04:16,20,25.7,82.3
04:17,27,25.7,82.2
04:18,19,25.7,82.2
04:19,24,25.7,82.2
04:20,15,25.7,82.3
04:21,22,25.7,82.2
04:22,18,25.7,82.4
04:23,15,25.6,82.6
04:24,16,25.6,82.9
04:25,9,25.6,82.8
04:26,32,25.6,82.8
04:27,16,25.7,82.6
04:28,13,25.7,82.6
04:29,23,25.7,82.4
04:30,18,25.7,82.4
04:31,13,25.8,82.2
04:32,18,25.7,82.2
04:33,29,25.8,82.1
04:34,8,25.7,82.2
04:35,24,25.8,82
04:36,17,25.8,81.9
04:37,24,25.7,82.1
04:38,26,25.7,82.3
04:39,10,25.6,82.4
04:40,19,25.6,82.5
04:41,11,25.6,82.6
04:42,24,25.6,82.6
04:43,14,25.7,82.4
