jam,menit,detik,cpm,temp,hum
00,00,00,33,25.5,87.3
00,01,00,31,25.5,87.1
00,02,00,54,25.6,87.2
00,03,00,42,25.6,87.1
00,04,00,18,25.6,86.8
00,05,00,32,25.6,87.1
00,06,00,44,25.5,87.3
00,07,00,18,25.5,87.7
00,08,00,48,25.6,87.4
00,09,00,38,25.6,87
00,10,00,44,25.6,86.9
00,11,00,35,25.6,86.5
00,12,00,34,25.5,87.2
00,13,00,32,25.4,86.9
00,33,00,11,25.1,89.3
00,34,00,43,25.1,89.1
00,35,00,26,25.2,89.2
00,36,00,51,25.2,88.8
00,37,00,24,25.3,88.7
00,38,00,31,25.2,88.8
00,39,00,21,25.2,89
00,40,00,37,25.2,89
00,41,00,34,25.3,88.6
00,42,00,34,25.4,88.3
00,43,00,32,25.4,88.1
00,44,00,28,25.5,87.9
00,45,00,50,25.5,87.7
00,46,00,34,25.4,87.9
00,47,00,25,25.4,87.9
00,48,00,25,25.4,88
00,49,00,45,25.3,88.5
00,50,00,24,25.4,88.3
00,51,00,33,25.3,88.4
00,52,00,29,25.3,88.4
00,53,00,38,25.4,88.2
00,54,00,25,25.4,87.8
00,55,00,23,25.4,87.8
00,56,00,33,25.5,87.5
00,57,00,35,25.5,87.6
00,58,00,48,25.4,87.8
00,59,00,24,25.5,87.5
01,00,00,41,25.5,87.2
01,01,00,35,25.5,87.3
01,02,00,44,25.4,88
01,03,00,25,25.3,88.3
01,04,00,35,25.3,88.5
01,05,00,42,25.3,88.6
01,06,00,43,25.4,88.1
01,07,00,21,25.4,88
01,08,00,30,25.4,87.8
01,09,00,27,25.4,87.9
01,10,00,17,25.4,87.8
01,11,00,26,25.4,88
01,12,00,17,25.5,87.7
01,13,00,42,25.5,87.5
01,14,00,39,25.5,87.1
01,15,00,21,25.5,87.4
01,16,00,26,25.5,87.6
01,17,00,25,25.4,88
01,18,00,31,25.4,88
01,19,00,29,25.4,88.3
01,20,00,40,25.4,88.3
01,21,00,12,25.4,88.1
01,22,00,30,25.3,88.4
01,23,00,48,25.3,88.5
01,24,00,48,25.2,88.6
01,25,00,36,25.3,88.4
01,26,00,33,25.2,88.5
01,27,00,56,25.3,88.1
01,28,00,26,25.4,87.7
01,29,00,46,25.4,87.6
01,30,00,45,25.4,87.6
01,31,00,45,25.2,88
01,32,00,25,25.2,88.3
01,33,00,46,25.2,87.9
01,34,00,50,25.2,88.2
01,35,00,28,25.2,88.2
01,36,00,22,25.2,88.1
01,37,00,28,25.2,88.2
01,38,00,50,25.2,88.1
01,39,00,40,25.2,88.1
01,40,00,25,25.1,88.1
01,41,00,34,25.2,88.1
01,42,00,28,25.3,87.6
01,43,00,46,25.3,87
01,44,00,33,25.3,87
01,45,00,43,25.3,86.7
01,46,00,31,25.3,86.7
01,47,00,27,25.4,86.5
01,48,00,61,25.5,86.3
01,49,00,21,25.5,85.9
01,50,00,21,25.4,85.9
01,51,00,19,25.4,86.1
01,52,00,28,25.4,86.1
01,54,00,45,25.3,86.8
01,55,00,38,25.3,86.9
01,56,00,37,25.3,87
01,57,00,29,25.3,87.1
01,58,00,38,25.2,87.4
01,59,00,46,25.2,87.8
02,00,00,27,25.2,87.9
02,01,00,40,25.1,87.3
02,02,00,26,25.2,87.7
02,03,00,44,25.3,87
02,04,00,20,25.3,86.3
02,05,00,19,25.3,86.3
02,06,00,36,25.3,86.4
02,07,00,34,25.3,86.3
02,08,00,24,25.3,86.3
02,09,00,41,25.4,85.9
02,10,00,36,25.4,85.6
02,11,00,33,25.3,85.9
02,12,00,32,25.3,85.9
02,13,00,29,25.4,85.9
02,14,00,50,25.4,85.7
02,15,00,28,25.3,85.9
02,16,00,20,25.3,86.2
02,17,00,40,25.3,85.7
02,18,00,27,25.3,85.9
02,19,00,25,25.4,85.7
02,20,00,41,25.4,85.6
02,21,00,35,25.4,85.6
02,22,00,50,25.4,85.5
02,23,00,40,25.4,85.5
02,24,00,30,25.4,85.7
02,25,00,58,25.3,85.6
02,26,00,47,25.3,85.7
02,27,00,34,25.4,85.5
02,28,00,33,25.4,85.5
02,29,00,34,25.4,85.6
02,30,00,24,25.4,85.4
02,31,00,58,25.4,85.6
02,32,00,22,25.4,85.5
02,33,00,15,25.4,85.7
02,34,00,34,25.4,85.8
02,35,00,26,25.4,85.8
02,36,00,22,25.4,85.3
02,37,00,37,25.4,85.4
02,38,00,35,25.4,85.3
02,39,00,34,25.4,85.4
02,40,00,30,25.4,85.8
02,41,00,38,25.3,86.1
02,42,00,29,25.4,86
02,43,00,40,25.2,86.5
02,44,00,25,25.2,86.9
02,45,00,41,25.2,87
